(搞笑,5.5078198592849725)
(日常,4.671679116770855)
(剪辑,3.933465757445026)
(手机游戏,3.8452972178831537)
(实况,3.5740226086754325)
(自制,3.4468714191964023)
(生活,3.416487823217589)
(电子竞技,3.1598675511315704)
(单机游戏,3.098916728565536)
(手游,2.999732473819362)
(游戏视频,2.9700182726853)
(直播录像,2.8053559602141855)
(网络游戏,2.6683582918182043)
(生活记录,2.6402559026616954)
(旅游,2.480948743086124)
(攻略,2.4325404654096476)
(第一视角,2.4281637343118887)
(影视剪影,2.3717070975737586)
(游戏,2.282300719312324)
(明星,2.2708339037914453)
(电影剪辑,2.2483995091019704)
(娱乐,2.2428862958407434)
(原创,2.1900630993520136)
(学习,2.1593627663401413)
(绝地求生,2.0985557715681367)
(吃鸡,2.0907801315300287)
(VLOG,2.040691858377913)
(王者荣耀,2.0250726635780305)
(记录,1.952054873655601)
(单机联机,1.9021249699496845)
(旅行,1.8874448276941218)
(动画,1.8136253769167061)
(实况攻略,1.8126859625993075)
(英雄联盟,1.7848489518238602)
(实况解说,1.7848285519902651)
(新人,1.7812226569684084)
(精彩集锦,1.7106835111260459)
(vlog,1.6641227280689315)
(美食,1.6461528785311188)
(电影,1.623820464519256)
(是在下输了,1.611486257448494)
(校园,1.5539131239693156)
(经典,1.5289724151939694)
(游戏集锦,1.512616727583408)
(爱情,1.4979222149270297)
(独立游戏,1.4729862647817675)
(逗比,1.4370519381589426)
(搞笑视频,1.4115858897950873)
(电视剧,1.4048336410229338)
(奇葩,1.3774130570882794)
(恶搞,1.3774130570882794)
(混剪,1.3592834529348583)
(我的世界,1.347490279102266)
(美女,1.3320394372996491)
(PVP,1.3159363481911819)
(守望先锋,1.3055886683556805)
(短片,1.3039490010911552)
(手工,1.2916029133252276)
(卖萌,1.241309349350473)
(音乐,1.2389641426268323)
(杂谈,1.2306523146479367)
(综艺,1.2039884021274891)
(集锦,1.2018264555703624)
(萌宠,1.1881842056322491)
(动物圈,1.1881842056322491)
(可爱,1.1747769317221297)
(萌妹子,1.148220915406649)
(小游戏,1.1387539894194911)
(美食圈,1.1259911918272092)
(吃货,1.117940388164844)
(FGO,1.113560113182882)
(动漫,1.1068792629108746)
(刺激战场,1.0884484345763994)
(音乐游戏,1.0879105307482406)
(Korea相关,1.086320817463812)
(解说,1.0748930767424003)
(游戏解说,1.0748930767424003)
(影评,1.0552780550747494)
(电影解说,1.0552780550747494)
(单机,1.0506845811152554)
(宠物,1.0187084893398939)
(二次元,1.0151771867805912)
(美食视频,1.013123238637579)
(厨艺,1.013123238637579)
(古装,0.9976458611431755)
(国产,0.9976458611431755)
(CUT,0.9976458611431755)
(大逃杀,0.9912062492627715)
(手残,0.9671173600878722)
(OSU,0.9671173600878722)
(视频教程,0.9646195566838529)
(翻唱,0.9614238489091661)
(欧美音乐,0.9560208179812788)
(课程,0.9522703240541659)
(DIY,0.9490787558969016)
(制作教程,0.9461621815039728)
(吃播,0.9461621815039728)
(崩坏3rd,0.9393098857327377)
(新人向,0.9211423096993762)
(第五人格,0.9185527466305444)
(阴阳师,0.9185527466305444)
(Fate/Grand,0.9185527466305444)
(科技,0.912901342070212)
(女神,0.9128673326864826)
(萌,0.9126235304027358)
(动物,0.9126235304027358)
(猫,0.9126235304027358)
(铲屎官,0.9126235304027358)
(猫咪,0.9126235304027358)
(暴雪,0.9085656371760745)
(音乐选集,0.9078290235648655)
(童年回忆杀,0.892734689721011)
(美食侦探,0.8811283197102443)
(大胃王,0.8811283197102443)
(天生吃货,0.8811283197102443)
(试吃,0.8811283197102443)
(料理,0.8811283197102443)
(欧美,0.8785644832861308)
